variable,valor
pgirasol,330.0
pcebada,205.0
psorgo,170.0
ptrigo,215.5
psoja1,294.8
psoja2,294.8
pmaiz,180.7
ctrigo1,297.2
cmaiz1,536.4
csoja11,261.0
csoja21,199.5
cgirasol1,255.6
notuse1,496.7
ccebada1,336.3
csorgo1,263.6
ctrigo2,350.2
cmaiz2,534.7
csoja12,250.9
csoja22,199.5
cgirasol2,255.6
notuse2,549.7
ccebada2,364.6
csorgo2,274.4
ctrigo5,307.7
cmaiz5,349.1
csoja15,250.5
csoja25,201.0
cgirasol5,253.6
notuse5,508.7
ccebada5,303.8
csorgo5,221.5
ctrigo6,260.6
cmaiz6,372.3
csoja16,232.1
csoja26,201.0
cgirasol6,242.9
notuse6,461.6
ccebada6,303.8
csorgo6,226.8
ctrigo7,267.4
cmaiz7,361.8
csoja17,226.2
csoja27,201.0
cgirasol7,242.9
notuse7,468.4
ccebada7,303.8
csorgo7,226.8
ctrigo8,306.6
cmaiz8,391.5
csoja18,234.6
csoja28,201.0
cgirasol8,242.9
notuse8,507.6
ccebada8,204.4
csorgo8,246.1
ctrigo9,291.1
cmaiz9,369.4
csoja19,288.0
csoja29,191.4
cgirasol9,260.1
notuse9,482.5
ccebada9,227.4
csorgo9,232.2
ctrigo12,269.0
cmaiz12,482.9
csoja112,265.3
csoja212,199.5
cgirasol12,269.6
notuse12,468.6
ccebada12,243.3
csorgo12,218.2
ctrigo16,215.2
cmaiz16,428.7
csoja116,218.4
csoja216,225.3
cgirasol16,239.5
notuse16,440.5
ccebada16,205.1
csorgo16,223.5
ctrigo14,138.4
cmaiz14,287.8
csoja114,252.4
csoja214,216.5
cgirasol14,258.1
notuse14,354.9
csorgo14,226.8
ctrigo11,232.0
cmaiz11,376.9
csoja111,291.8
csoja211,191.4
cgirasol11,260.1
notuse11,423.5
csorgo11,226.8
csoja210,191.4
cgirasol10,260.1
notuse10,448.7
ccebada10,220.9
csorgo10,237.6
notuse210,412.4
ctrigo10,257.3
cmaiz10,385.7
csoja110,301.1
cgirasol4,242.9
notuse4,442.1
ccebada4,257.3
csorgo4,216.1
notuse24,458.3
ctrigo4,241.1
cmaiz4,316.6
csoja14,200.8
csoja24,201.0
cgirasol13,260.1
notuse13,354.3
ccebada13,180.6
csorgo13,232.2
notuse213,372.0
ctrigo13,162.9
cmaiz13,325.1
csoja113,248.0
csoja213,191.4
ccebada3,294.6
csorgo3,242.1
notuse23,494.7
ctrigo3,268.9
cmaiz3,482.6
csoja13,239.5
csoja23,200.1
cgirasol3,268.7
notuse3,469.0
ctrigo15,196.6
cmaiz15,331.1
csoja115,296.4
csoja215,225.3
cgirasol15,178.4
notuse15,421.9
ccebada15,193.1
csorgo15,232.2
gtrigo1,177.0
gmaiz1,397.7
gsoja11,216.9
gsoja21,167.6
ggirasol1,149.0
gnada1,344.6
gcebada1,155.4
gsorgo1,295.2
gtrigo2,217.1
gmaiz2,434.6
gsoja12,240.6
gsoja22,141.7
ggirasol2,191.7
gnada2,358.8
gcebada2,208.2
gsorgo2,325.8
gtrigo5,237.7
gmaiz5,380.1
gsoja15,177.9
gsoja25,119.9
ggirasol5,141.0
gnada5,357.6
gcebada5,260.7
gsorgo5,149.7
gtrigo6,222.1
gmaiz6,413.2
gsoja16,219.6
gsoja26,143.7
ggirasol6,152.1
gnada6,365.8
gcebada6,268.7
gsorgo6,257.5
gtrigo7,240.4
gmaiz7,386.1
gsoja17,224.1
gsoja27,131.2
ggirasol7,166.5
gnada7,371.6
gcebada7,279.6
gsorgo7,320.8
gtrigo8,157.9
gmaiz8,501.1
gsoja18,234.1
gsoja28,205.0
ggirasol8,180.8
gnada8,362.9
gcebada8,145.3
gsorgo8,358.4
gtrigo9,170.7
gmaiz9,596.7
gsoja19,263.6
gsoja29,230.6
ggirasol9,189.6
gnada9,401.3
gcebada9,128.9
gsorgo9,388.1
gtrigo12,189.2
gmaiz12,308.7
gsoja112,162.2
gsoja212,140.3
ggirasol12,122.4
gnada12,329.5
gcebada12,189.6
gsorgo12,256.9
gtrigo16,187.2
gmaiz16,558.0
gsoja116,233.0
gsoja216,150.2
ggirasol16,214.2
gnada16,337.4
gcebada16,269.6
gsorgo16,300.2
gtrigo14,116.6
gmaiz14,488.6
gsoja114,250.9
gsoja214,226.2
ggirasol14,163.6
gnada14,342.8
gsorgo14,331.9
gtrigo11,171.4
gmaiz11,362.1
gsoja111,212.5
gsoja211,185.2
ggirasol11,165.3
gnada11,356.6
gsorgo11,264.0
gsoja210,247.8
ggirasol10,221.5
notuse10,483.6
gcebada10,198.0
gsorgo10,350.1
notuse210,445.8
gtrigo10,235.7
gmaiz10,483.1
gsoja110,281.9
ggirasol4,130.5
notuse4,255.7
gcebada4,173.9
gsorgo4,129.1
notuse24,301.1
gtrigo4,128.5
gmaiz4,325.3
gsoja14,153.4
gsoja24,127.2
ggirasol13,142.0
notuse13,451.8
gcebada13,107.4
gsorgo13,278.6
notuse213,424.1
gtrigo13,135.1
gmaiz13,605.9
gsoja113,295.9
gsoja213,316.8
gtrigo15,160.8
gmaiz15,693.0
gsoja115,311.5
gsoja215,298.6
ggirasol15,260.0
notuse15,459.5
gcebada15,181.0
gsorgo15,385.3
gcebada3,222.4
gsorgo3,380.4
notuse23,438.0
gtrigo3,222.7
gmaiz3,639.9
gsoja13,296.0
gsoja23,215.5
ggirasol3,230.7
notuse3,438.3
rtrigo1,3.03
rmaiz1,7.02
rsoja11,3.1
rsoja21,2.22
rgirasol1,2.11
rcebada1,2.72
rsorgo1,5.32
rtrigo2,3.72
rmaiz2,7.67
rsoja12,3.43
rsoja22,1.88
rgirasol2,2.71
rcebada2,3.65
rsorgo2,5.87
rtrigo5,3.86
rmaiz5,6.16
rsoja15,2.37
rsoja25,1.49
rgirasol5,1.99
rcebada5,4.32
rsorgo5,2.47
rtrigo6,3.5
rmaiz6,7.2
rsoja16,2.92
rsoja26,1.79
rgirasol6,2.15
rcebada6,4.33
rsorgo6,4.59
rtrigo7,3.79
rmaiz7,6.53
rsoja17,2.98
rsoja27,1.63
rgirasol7,2.35
rcebada7,4.5
rsorgo7,5.55
rtrigo8,2.16
rmaiz8,7.0
rsoja18,2.74
rsoja28,2.26
rgirasol8,2.19
rcebada8,1.98
rsorgo8,4.83
rtrigo9,2.08
rmaiz9,7.34
rsoja19,2.78
rsoja29,2.31
rgirasol9,2.01
rcebada9,1.58
rsorgo9,4.84
rtrigo12,2.98
rmaiz12,5.0
rsoja112,2.16
rsoja212,1.75
rgirasol12,1.73
rcebada12,3.05
rsorgo12,4.24
rtrigo16,2.04
rmaiz16,5.97
rsoja116,2.22
rsoja216,1.41
rgirasol16,2.01
rcebada16,2.35
rsorgo16,3.26
rtrigo14,1.11
rmaiz14,4.21
rsoja114,2.25
rsoja214,1.98
rgirasol14,1.56
rsorgo14,2.9
rtrigo11,2.09
rmaiz11,4.45
rsoja111,2.24
rsoja211,1.85
rgirasol11,1.75
rsorgo11,3.29
rsoja210,2.48
rgirasol10,2.35
rcebada10,2.42
rsorgo10,4.37
rtrigo10,2.88
rmaiz10,5.94
rsoja110,2.98
rgirasol13,1.51
rcebada13,1.17
rsorgo13,3.08
rtrigo13,1.46
rmaiz13,6.61
rsoja113,2.86
rsoja213,2.87
rgirasol4,1.84
rcebada4,2.39
rsorgo4,2.13
rtrigo4,2.08
rmaiz4,5.27
rsoja14,2.04
rsoja24,1.58
rcebada3,2.78
rsorgo3,4.65
rtrigo3,2.74
rmaiz3,7.87
rsoja13,3.13
rsoja23,2.16
rgirasol3,2.45
rtrigo15,1.41
rmaiz15,5.91
rsoja115,2.41
rsoja215,2.26
rgirasol15,1.92
rcebada15,1.59
rsorgo15,3.33
gasvartrigo1,0.27107119064574675
gasvartrigo2,0.2708130628944939
gasvartrigo3,0.37715717987365993
gasvartrigo4,0.28667678029626986
gasvartrigo5,0.2857555029272808
gasvartrigo6,0.2944647000331455
gasvartrigo7,0.2943391144114748
gasvartrigo8,0.33921973017100626
gasvartrigo9,0.3808227735141888
gasvartrigo10,0.37976927043052333
gasvartrigo11,0.38055484630157976
gasvartrigo12,0.2946168579392392
gasvartrigo13,0.4293932555700346
gasvartrigo14,0.48744800484939693
gasvartrigo15,0.529199782791134
gasvartrigo16,0.42582230107820385
gasvarmaiz1,0.3135164452264618
gasvarmaiz2,0.3135712270620772
gasvarmaiz3,0.4499655089729409
gasvarmaiz4,0.3415979812850931
gasvarmaiz5,0.3414750716908991
gasvarmaiz6,0.31759208018200824
gasvarmaiz7,0.3272114314673835
gasvarmaiz8,0.3961577990354969
gasvarmaiz9,0.4498853233489503
gasvarmaiz10,0.4500828241835437
gasvarmaiz11,0.45030872449836157
gasvarmaiz12,0.34167127836192585
gasvarmaiz13,0.5072725248173392
gasvarmaiz14,0.6422634594681281
gasvarmaiz15,0.6489146831695128
gasvarmaiz16,0.5172514481650088
gasvarsoja11,0.23733969448942965
gasvarsoja12,0.23794359767555012
gasvarsoja13,0.32078931511481223
gasvarsoja14,0.2550748929151036
gasvarsoja15,0.2546244611236109
gasvarsoja16,0.25510678240181406
gasvarsoja17,0.25509274858167974
gasvarsoja18,0.2898166764056294
gasvarsoja19,0.32164227912107224
gasvarsoja110,0.32088641599810586
gasvarsoja111,0.3217980713316534
gasvarsoja112,0.2547238554701241
gasvarsoja113,0.3509550151341196
gasvarsoja114,0.37826021408110955
gasvarsoja115,0.4384433922428596
gasvarsoja116,0.35602087840893804
gasvarsoja21,0.2560905545980172
gasvarsoja22,0.25567279655879205
gasvarsoja23,0.3384278104427358
gasvarsoja24,0.27308795493189975
gasvarsoja25,0.27296403886607234
gasvarsoja26,0.2723179430425324
gasvarsoja27,0.2730352698304351
gasvarsoja28,0.3076932313492874
gasvarsoja29,0.3386256439173671
gasvarsoja210,0.33893946688843174
gasvarsoja211,0.33957974256481716
gasvarsoja212,0.2719519286683466
gasvarsoja213,0.37443444796921316
gasvarsoja214,0.38752518399736846
gasvarsoja215,0.4481814579555962
gasvarsoja216,0.3613460742708122
gasvargirasol1,0.21398822346689647
gasvargirasol2,0.21435759812143576
gasvargirasol3,0.285343228200371
gasvargirasol4,0.21492094861660077
gasvargirasol5,0.2147099132023755
gasvargirasol6,0.21437632135306553
gasvargirasol7,0.21470019342359767
gasvargirasol8,0.25017296250172966
gasvargirasol9,0.28584350972410677
gasvargirasol10,0.2856221792392005
gasvargirasol11,0.28623376623376623
gasvargirasol12,0.21439831844456123
gasvargirasol13,0.28496889424041744
gasvargirasol14,0.31779331779331776
gasvargirasol15,0.41035353535353536
gasvargirasol16,0.32293080054274087
gasvarcebada1,0.2786944045911047
gasvarcebada2,0.2782492482459071
gasvarcebada3,0.3902439024390244
gasvarcebada4,0.3549341769568323
gasvarcebada5,0.29437669376693765
gasvarcebada6,0.30270940122796147
gasvarcebada7,0.30308943089430895
gasvarcebada8,0.35796994333579707
gasvarcebada9,0.3979623340537203
gasvarcebada10,0.39911308203991136
gasvarcebada11,0.004878048780487805
gasvarcebada12,0.30323870451819274
gasvarcebada13,0.4477798624140088
gasvarcebada14,0.004878048780487805
gasvarcebada15,0.5552998926215678
gasvarcebada16,0.5596263622210691
gasvarsorgo1,0.32640424590888983
gasvarsorgo2,0.32648561980158336
gasvarsorgo3,0.4812144212523718
gasvarsorgo4,0.3565313449323392
gasvarsorgo5,0.35651345558466296
gasvarsorgo6,0.330001281558375
gasvarsorgo7,0.34001059883412826
gasvarsorgo8,0.4364876385336743
gasvarsorgo9,0.4716820612542538
gasvarsorgo10,0.47126127338807383
gasvarsorgo11,0.4720185946719114
gasvarsorgo12,0.35640954495005545
gasvarsorgo13,0.5320855614973262
gasvarsorgo14,0.6732251521298174
gasvarsorgo15,0.680621798268857
gasvarsorgo16,0.5416817033561891
gesptrigo1,72.0
gespmaiz1,180.0
gespsoja11,180.0
gespsoja21,108.0
gespgirasol1,180.0
gespcebada1,72.0
gespsorgo1,180.0
gesptrigo2,72.0
gespmaiz2,180.0
gespsoja12,180.0
gespsoja22,108.0
gespgirasol2,180.0
gespcebada2,72.0
gespsorgo2,180.0
gesptrigo5,83.2
gespmaiz5,118.8
gespsoja15,118.8
gespsoja25,35.6
gespgirasol5,118.8
gespcebada5,83.2
gespsorgo5,118.8
gesptrigo6,36.0
gespmaiz6,90.0
gespsoja16,90.0
gespsoja26,54.0
gespgirasol6,90.0
gespcebada6,36.0
gespsorgo6,90.0
gesptrigo7,32.4
gespmaiz7,81.0
gespsoja17,81.0
gespsoja27,48.6
gespgirasol7,81.0
gespcebada7,32.4
gespsorgo7,81.0
gesptrigo8,35.3
gespmaiz8,88.2
gespsoja18,88.2
gespsoja28,52.9
gespgirasol8,88.2
gespcebada8,35.3
gespsorgo8,88.2
gesptrigo9,41.8
gespmaiz9,104.4
gespsoja19,104.4
gespsoja29,62.6
gespgirasol9,104.4
gespcebada9,41.8
gespsorgo9,104.4
gesptrigo11,33.1
gespmaiz11,82.8
gespsoja111,82.8
gespsoja211,49.7
gespgirasol11,82.8
gespcebada11,33.1
gespsorgo11,82.8
gesptrigo12,43.2
gespmaiz12,108.0
gespsoja112,108.0
gespsoja212,64.8
gespgirasol12,108.0
gespcebada12,43.2
gespsorgo12,108.0
gesptrigo14,33.1
gespmaiz14,82.8
gespsoja114,82.8
gespsoja214,49.7
gespgirasol14,82.8
gespcebada14,33.1
gespsorgo14,82.8
gesptrigo16,33.1
gespmaiz16,82.8
gespsoja116,82.8
gespsoja216,49.7
gespgirasol16,82.8
gespcebada16,33.1
gespsorgo16,82.8
gesptrigo15,28.8
gespmaiz15,72.0
gespsoja115,72.0
gespsoja215,43.2
gespgirasol15,72.0
gespcebada15,28.8
gespsorgo15,72.0
gespsoja210,71.3
gespgirasol10,118.8
notuse10,118.8
gespcebada10,47.5
gespsorgo10,118.8
notuse210,118.8
gesptrigo10,47.5
gespmaiz10,118.8
gespsoja110,118.8
gespgirasol13,73.8
notuse13,73.8
gespcebada13,29.5
gespsorgo13,73.8
notuse213,73.8
gesptrigo13,29.5
gespmaiz13,73.8
gespsoja113,73.8
gespsoja213,44.3
gespgirasol4,118.8
notuse4,118.8
gespcebada4,71.3
gespsorgo4,118.8
notuse24,118.8
gesptrigo4,71.3
gespmaiz4,118.8
gespsoja14,118.8
gespsoja24,47.5
gespcebada3,43.2
gespsorgo3,108.0
notuse23,108.0
gesptrigo3,43.2
gespmaiz3,108.0
gespsoja13,108.0
gespsoja23,64.8
gespgirasol3,108.0
notuse3,108.0
gesatrigo,26.8
gesamaiz,67.0
gesasoja1,67.0
gesasoja2,40.2
gesagirasol,67.0
gesacebada,26.8
gesasorgo,67.0
arrendmaiz1,530.64
arrendgirasol1,530.64
arrendsoja11,530.64
arrendsorgo1,530.64
arrendsoja21,318.38399999999996
arrendtrigo1,212256
arrendcebada1,212256
arrendmaiz2,471.68000000000006
arrendgirasol2,471.68000000000006
arrendsoja12,471.68000000000006
arrendsorgo2,471.68000000000006
arrendsoja22,283.00800000000004
arrendtrigo2,188.67200000000003
arrendcebada2,188.67200000000003
arrendmaiz3,412.71999999999997
arrendgirasol3,412.71999999999997
arrendsoja13,412.71999999999997
arrendsorgo3,412.71999999999997
arrendsoja23,247.63199999999998
arrendtrigo3,165088
arrendcebada3,165088
arrendmaiz4,294.8
arrendgirasol4,294.8
arrendsoja14,294.8
arrendsorgo4,294.8
arrendsoja24,176.88
arrendtrigo4,117.92000000000002
arrendcebada4,117.92000000000002
arrendmaiz5,383.24
arrendgirasol5,383.24
arrendsoja15,383.24
arrendsorgo5,383.24
arrendsoja25,229944
arrendtrigo5,153.29600000000002
arrendcebada5,153.29600000000002
arrendmaiz6,324.28000000000003
arrendgirasol6,324.28000000000003
arrendsoja16,324.28000000000003
arrendsorgo6,324.28000000000003
arrendsoja26,194568
arrendtrigo6,129.71200000000002
arrendcebada6,129.71200000000002
arrendmaiz7,265.32
arrendgirasol7,265.32
arrendsoja17,265.32
arrendsorgo7,265.32
arrendsoja27,159.19199999999998
arrendtrigo7,106128
arrendcebada7,106128
arrendmaiz8,353.76
arrendgirasol8,353.76
arrendsoja18,353.76
arrendsorgo8,353.76
arrendsoja28,212256
arrendtrigo8,141504
arrendcebada8,141504
arrendmaiz9,383.24
arrendgirasol9,383.24
arrendsoja19,383.24
arrendsorgo9,383.24
arrendsoja29,229944
arrendtrigo9,153.29600000000002
arrendcebada9,153.29600000000002
arrendmaiz10,294.8
arrendgirasol10,294.8
arrendsoja110,294.8
arrendsorgo10,294.8
arrendsoja210,176.88
arrendtrigo10,117.92000000000002
arrendcebada10,117.92000000000002
arrendmaiz11,147.4
arrendgirasol11,147.4
arrendsoja111,147.4
arrendsorgo11,147.4
arrendsoja211,88.44
arrendtrigo11,58.96000000000001
arrendcebada11,58.96000000000001
arrendmaiz12,206.35999999999999
arrendgirasol12,206.35999999999999
arrendsoja112,206.35999999999999
arrendsorgo12,206.35999999999999
arrendsoja212,123.81599999999999
arrendtrigo12,82544
arrendcebada12,82544
arrendmaiz13,235.84000000000003
arrendgirasol13,235.84000000000003
arrendsoja113,235.84000000000003
arrendsorgo13,235.84000000000003
arrendsoja213,141.50400000000002
arrendtrigo13,94.33600000000001
arrendcebada13,94.33600000000001
arrendmaiz14,235.84000000000003
arrendgirasol14,235.84000000000003
arrendsoja114,235.84000000000003
arrendsorgo14,235.84000000000003
arrendsoja214,141.50400000000002
arrendtrigo14,94.33600000000001
arrendcebada14,94.33600000000001
arrendmaiz15,235.84000000000003
arrendgirasol15,235.84000000000003
arrendsoja115,235.84000000000003
arrendsorgo15,235.84000000000003
arrendsoja215,141.50400000000002
arrendtrigo15,94.33600000000001
arrendcebada15,94.33600000000001
arrendmaiz16,206.35999999999999
arrendgirasol16,206.35999999999999
arrendsoja116,206.35999999999999
arrendsorgo16,206.35999999999999
arrendsoja216,123.81599999999999
arrendtrigo16,82544
arrendcebada16,82544
